id,title,description,"google product category",product_type,link,"image link",condition,availability,price,"sale price",brand,gtin,gender,color,size,"size type","item group id"
142433,"Mens Chapman Lake Cordura Tapered Chino Pants","|Oxford Fabric Design |Fabric Composition: 75% Cotton, 25% Nylon |Garment Dyed Wash |5 Pockets: Front 2 Curved  with Coin / Back 2 Patch |Fly Zip Design |Tapered Fit |Feature: Diagonal Belt Loop at Centre Back, Quad Stitch Back Pockets, Chambray Facing On Waistband, Cordura® Fabric","Apparel & Accessories > Clothing > Pants",BOTTOMS,http://shop.timberland.com.sg/men-s-chapman-lake-cordura-tapered-chino-pants-0a1mtf-golden-brown-36-190542700251.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1MTFD78_thumb01.jpg
",new,"in stock",179.00,,Timberland,190542700251,men,"Golden Brown",360|032,Regular,0A1MTF
142435,"Mens Chapman Lake Cordura Tapered Chino Pants","|Oxford Fabric Design |Fabric Composition: 75% Cotton, 25% Nylon |Garment Dyed Wash |5 Pockets: Front 2 Curved  with Coin / Back 2 Patch |Fly Zip Design |Tapered Fit |Feature: Diagonal Belt Loop at Centre Back, Quad Stitch Back Pockets, Chambray Facing On Waistband, Cordura® Fabric","Apparel & Accessories > Clothing > Pants",BOTTOMS,http://shop.timberland.com.sg/men-s-chapman-lake-cordura-tapered-chino-pants-0a1mtf-golden-brown-38-190542700336.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1MTFD78_thumb01.jpg
",new,"in stock",179.00,,Timberland,190542700336,men,"Golden Brown",380|032,Regular,0A1MTF
142535,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-29-190542712513.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542712513,men,"Capers Print",290|0OS,Regular,0A1N11
142536,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-30-190542712599.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542712599,men,"Capers Print",300|0OS,Regular,0A1N11
142537,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-31-190542712698.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542712698,men,"Capers Print",310|0OS,Regular,0A1N11
142538,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-32-190542712797.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542712797,men,"Capers Print",320|0OS,Regular,0A1N11
142539,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-33-190542712896.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542712896,men,"Capers Print",330|0OS,Regular,0A1N11
142540,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-34-190542712995.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542712995,men,"Capers Print",340|0OS,Regular,0A1N11
142541,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-35-190542713091.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542713091,men,"Capers Print",350|0OS,Regular,0A1N11
142542,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-36-190542713190.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542713190,men,"Capers Print",360|0OS,Regular,0A1N11
